Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Home Team Odds,Away Team Odds,Bookmaker,Match Result
NCAAB,2025-01-16 20:00:00,N Colorado Bears,Portland St Vikings,,,Scheduled,6b551ba5af525310ae90b97242d9d411,1.21,4.23,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,South Dakota St Jackrabbits,North Dakota Fighting Hawks,,,Scheduled,5cc38568f57e1ce9f77b76fa2d070a84,1.16,4.98,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,North Dakota St Bison,UMKC Kangaroos,,,Scheduled,1b60e698999d479a00f577c7f29d2baa,1.21,4.26,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,Northern Arizona Lumberjacks,Sacramento St Hornets,,,Scheduled,7bfa77e26e5f6fc6b3819026ebc6b481,1.2,4.38,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,South Dakota Coyotes,Oral Roberts Golden Eagles,,,Scheduled,047fe044bcfca1d838f625af4e342cc5,1.3,3.44,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,UT-Arlington Mavericks,Utah Valley Wolverines,,,Scheduled,b9d289d6c36a2dca057b35443fa378ef,1.98,1.847,FanDuel,Not Completed
NCAAB,2025-01-16 20:30:00,Tenn-Martin Skyhawks,Eastern Illinois Panthers,,,Scheduled,af70a80495dab1080ce8f86ce5126ac9,1.385,3.1,Caesars,Not Completed
NCAAB,2025-01-16 20:30:00,Southern Indiana Screaming Eagles,Lindenwood Lions,,,Scheduled,77b6349425d4fa6d510fd78e771ea8f5,1.781,2.0,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:30:00,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,,,Scheduled,3fbb48db60a2c0fcdcbf5004777192d2,1.719,2.09,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:30:00,Tennessee St Tigers,SIU-Edwardsville Cougars,,,Scheduled,6f7561c85da743c733b8b75a67a69aa3,1.84,1.926,MyBookie.ag,Not Completed
NCAAB,2025-01-16 21:00:00,Grand Canyon Antelopes,Abilene Christian Wildcats,,,Scheduled,4070576c6d3485efe1342a02d4fbfd71,1.083,8.2,FanDuel,Not Completed
NCAAB,2025-01-16 21:00:00,Idaho State Bengals,Montana St Bobcats,,,Scheduled,5421c82ba00a91fec300592e125674b6,1.741,2.06,MyBookie.ag,Not Completed
NCAAB,2025-01-16 21:00:00,Liberty Flames,UTEP Miners,,,Scheduled,eca9b172a5fd712e545935d3485d06e8,1.208,4.6,FanDuel,Not Completed
NCAAB,2025-01-16 21:00:00,Northwestern Wildcats,Maryland Terrapins,,,Scheduled,76eac071bb2260d17d0f3dbaf7e67944,2.07,1.775,BetRivers,Not Completed
NCAAB,2025-01-16 21:00:00,Weber State Wildcats,Montana Grizzlies,,,Scheduled,a5e3892b0897713bfc47a2e374c53d98,1.769,2.08,FanDuel,Not Completed
NCAAB,2025-01-16 21:00:00,Nebraska Cornhuskers,Rutgers Scarlet Knights,,,Scheduled,4b1bdb33a4ee8e99707e0f6a0bf5f696,1.238,4.1,BetRivers,Not Completed
NCAAB,2025-01-16 22:00:00,UC Irvine Anteaters,CSU Fullerton Titans,,,Scheduled,a8767e10f07acb8e443529d8a771045d,1.02,12.72,MyBookie.ag,Not Completed
NCAAB,2025-01-16 22:00:00,Cal Poly Mustangs,UC Davis Aggies,,,Scheduled,5a349452d7a511e13404190d0b0fb225,1.559,2.38,MyBookie.ag,Not Completed
